brake_pedal; 0.0, 0.022837319; 0.053777777, 0.022837319; 0.107555555, 0.022837319; 0.161333332, 0.022837319; 0.21511111, 0.022837319; 0.268888887, 0.022837319; 0.322666665, 0.022837319; 0.376444442, 0.022837319; 0.43022222, 0.022837319; 0.483999997, 0.022837319
position_covariance4; 2.1204195, 0.24549432; 2.69851444, 0.24549432; 3.27660938, 0.24549432; 3.85470431, 0.24549432; 4.43279925, 0.24549432; 5.01089418, 0.24549432; 5.58898912, 0.24549432; 6.16708406, 0.24549432; 6.74517899, 0.24549432; 7.32327393, 0.24549432
position_covariance8; 8.8689735, 0.7617621; 10.662786, 0.7617621; 12.4565986, 0.7617621; 14.2504111, 0.7617621; 16.0442237, 0.7617621; 17.8380362, 0.7617621; 19.6318488, 0.7617621; 21.4256613, 0.7617621; 23.2194739, 0.7617621; 25.0132864, 0.7617621
orientation.x; -0.0208386927, 0.0023455011; -0.0153154597, 0.0023455011; -0.0097922268, 0.0023455011; -0.0042689938, 0.0023455011; 0.0012542392, 0.0023455011; 0.0067774721, 0.0023455011; 0.0123007051, 0.0023455011; 0.017823938, 0.0023455011; 0.023347171, 0.0023455011; 0.028870404, 0.0023455011
orientation.y; -0.0311807856, 0.0022046944; -0.025989127, 0.0022046944; -0.0207974685, 0.0022046944; -0.01560581, 0.0022046944; -0.0104141515, 0.0022046944; -0.0052224929, 0.0022046944; -3.08344e-05, 0.0022046944; 0.0051608241, 0.0022046944; 0.0103524826, 0.0022046944; 0.0155441411, 0.0022046944
orientation.z; -0.999757681, 0.047114671; -0.88881111, 0.047114671; -0.777864539, 0.047114671; -0.666917968, 0.047114671; -0.555971397, 0.047114671; -0.445024826, 0.047114671; -0.334078255, 0.047114671; -0.223131684, 0.047114671; -0.112185113, 0.047114671; -0.001238542, 0.047114671
orientation.w; -0.999932832, 0.094362729; -0.777725587, 0.094362729; -0.555518341, 0.094362729; -0.333311095, 0.094362729; -0.11110385, 0.094362729; 0.111103396, 0.094362729; 0.333310642, 0.094362729; 0.555517887, 0.094362729; 0.777725133, 0.094362729; 0.999932379, 0.094362729
orientation_covariance0; 0.000269860192, 3.237569e-05; 0.000346099116, 3.237569e-05; 0.00042233804, 3.237569e-05; 0.000498576964, 3.237569e-05; 0.000574815888, 3.237569e-05; 0.000651054812, 3.237569e-05; 0.000727293736, 3.237569e-05; 0.00080353266, 3.237569e-05; 0.000879771584, 3.237569e-05; 0.000956010508, 3.237569e-05
orientation_covariance4; 0.000263278578, 3.0971646e-05; 0.000336211231, 3.0971646e-05; 0.000409143884, 3.0971646e-05; 0.000482076538, 3.0971646e-05; 0.000555009191, 3.0971646e-05; 0.000627941845, 3.0971646e-05; 0.000700874498, 3.0971646e-05; 0.000773807151, 3.0971646e-05; 0.000846739805, 3.0971646e-05; 0.000919672458, 3.0971646e-05
orientation_covariance8; 0.017962343, 0.013827831; 0.050524396, 0.013827831; 0.08308645, 0.013827831; 0.115648503, 0.013827831; 0.148210556, 0.013827831; 0.180772609, 0.013827831; 0.213334663, 0.013827831; 0.245896716, 0.013827831; 0.278458769, 0.013827831; 0.311020823, 0.013827831
angular_velocity.x; -0.273172349, 0.029274675; -0.204235757, 0.029274675; -0.135299165, 0.029274675; -0.066362573, 0.029274675; 0.002574019, 0.029274675; 0.071510611, 0.029274675; 0.140447204, 0.029274675; 0.209383796, 0.029274675; 0.278320388, 0.029274675; 0.34725698, 0.029274675
angular_velocity.y; -0.282080954, 0.029371228; -0.212916998, 0.029371228; -0.143753043, 0.029371228; -0.074589087, 0.029371228; -0.005425131, 0.029371228; 0.063738824, 0.029371228; 0.13290278, 0.029371228; 0.202066736, 0.029371228; 0.271230691, 0.029371228; 0.340394647, 0.029371228
angular_velocity.z; -0.125974206, 0.049135641; -0.010268613, 0.049135641; 0.10543698, 0.049135641; 0.221142573, 0.049135641; 0.336848166, 0.049135641; 0.452553759, 0.049135641; 0.568259352, 0.049135641; 0.683964945, 0.049135641; 0.799670538, 0.049135641; 0.915376131, 0.049135641
linear_acceleration.x; -6.94127184, 0.47081766; -5.83258097, 0.47081766; -4.7238901, 0.47081766; -3.61519922, 0.47081766; -2.50650835, 0.47081766; -1.39781748, 0.47081766; -0.28912661, 0.47081766; 0.81956426, 0.47081766; 1.92825513, 0.47081766; 3.036946, 0.47081766
linear_acceleration.y; -4.35700522, 0.37879676; -3.46500702, 0.37879676; -2.57300882, 0.37879676; -1.68101062, 0.37879676; -0.78901242, 0.37879676; 0.10298578, 0.37879676; 0.99498398, 0.37879676; 1.88698218, 0.37879676; 2.77898038, 0.37879676; 3.67097859, 0.37879676
linear_acceleration.z; -5.31565556, 0.62541776; -3.84290929, 0.62541776; -2.37016303, 0.62541776; -0.89741676, 0.62541776; 0.57532951, 0.62541776; 2.04807578, 0.62541776; 3.52082205, 0.62541776; 4.99356832, 0.62541776; 6.46631458, 0.62541776; 7.93906085, 0.62541776
steering_wheel_angle; -0.38, 0.23894253; 0.18266667, 0.23894253; 0.74533334, 0.23894253; 1.30800001, 0.23894253; 1.87066668, 0.23894253; 2.43333334, 0.23894253; 2.99600001, 0.23894253; 3.55866668, 0.23894253; 4.12133335, 0.23894253; 4.68400002, 0.23894253
throttle_pedal; 0.0, 0.010852445; 0.025555556, 0.010852445; 0.051111112, 0.010852445; 0.076666668, 0.010852445; 0.102222224, 0.010852445; 0.12777778, 0.010852445; 0.153333336, 0.010852445; 0.178888892, 0.010852445; 0.204444448, 0.010852445; 0.230000004, 0.010852445
front_left_wheel_speed; 0.0, 1.1980156; 2.8211111, 1.1980156; 5.6422222, 1.1980156; 8.4633333, 1.1980156; 11.2844444, 1.1980156; 14.1055556, 1.1980156; 16.9266667, 1.1980156; 19.7477778, 1.1980156; 22.5688889, 1.1980156; 25.39, 1.1980156
front_right_wheel_speed; 0.0, 1.2036777; 2.8344444, 1.2036777; 5.6688889, 1.2036777; 8.5033333, 1.2036777; 11.3377778, 1.2036777; 14.1722222, 1.2036777; 17.0066667, 1.2036777; 19.8411111, 1.2036777; 22.6755556, 1.2036777; 25.51, 1.2036777
rear_left_wheel_speed; 0.0, 1.2036777; 2.8344444, 1.2036777; 5.6688889, 1.2036777; 8.5033333, 1.2036777; 11.3377778, 1.2036777; 14.1722222, 1.2036777; 17.0066667, 1.2036777; 19.8411111, 1.2036777; 22.6755556, 1.2036777; 25.51, 1.2036777
rear_right_wheel_speed; 0.0, 1.1984874; 2.8222222, 1.1984874; 5.6444444, 1.1984874; 8.4666667, 1.1984874; 11.2888889, 1.1984874; 14.1111111, 1.1984874; 16.9333333, 1.1984874; 19.7555556, 1.1984874; 22.5777778, 1.1984874; 25.4, 1.1984874
